county,democrat,republican,other,GEOID,victory_margin
Adams County,14077,31249,1812,42001,0.364292079
Allegheny County,363017,257488,22668,42003,-0.164075606
Armstrong County,6849,22676,921,42005,0.519838402
Beaver County,30225,46081,2730,42007,0.20061744
Bedford County,3613,19455,436,42009,0.674012934
Berks County,75169,93094,7671,42011,0.101884798
Blair County,13093,37224,1712,42013,0.463799035
Bradford County,6263,17957,1179,42015,0.460411827
Bucks County,165861,163873,12838,42017,-0.00580316
Butler County,26834,61388,3805,42019,0.375476762
Cambria County,17798,40510,1859,42021,0.377482673
Cameron County,469,1495,60,42023,0.506916996
Carbon County,8917,18714,1090,42025,0.341109293
Centre County,36555,35099,3740,42027,-0.019311882
Chester County,140188,115582,10867,42029,-0.092282766
Clarion County,4256,12545,680,42031,0.474171958
Clearfield County,7700,23909,1083,42033,0.495809372
Clinton County,4533,9701,605,42035,0.348271447
Columbia County,8502,17387,1238,42037,0.327533454
Crawford County,10215,23912,1436,42039,0.385147485
Cumberland County,44282,65649,5137,42041,0.185690201
Dauphin County,64287,60620,5253,42043,-0.028173018
Delaware County,169169,106559,9104,42045,-0.219813785
Elk County,3637,9704,513,42047,0.437924065
Erie County,54820,57168,5252,42049,0.020027294
Fayette County,17826,34388,1212,42051,0.309998877
Forest County,626,1680,92,42053,0.439532944
Franklin County,17322,49554,2469,42055,0.464806403
Fulton County,904,5676,163,42057,0.707696871
Greene County,4157,10394,404,42059,0.417051153
Huntingdon County,4487,14369,640,42061,0.506873205
Indiana County,11468,24920,1340,42063,0.356552163
Jefferson County,3437,14533,581,42065,0.598134871
Juniata County,1810,8234,358,42067,0.617573544
Lackawanna County,51593,48102,3045,42069,-0.033978976
Lancaster County,90066,137145,11940,42071,0.196858888
Lawrence County,13933,25323,1299,42073,0.280853162
Lebanon County,17860,38804,2242,42075,0.35554952
Lehigh County,77087,70285,5659,42077,-0.04444851
Luzerne County,51454,77508,3769,42079,0.196291748
Lycoming County,12926,35475,1893,42081,0.448343739
McKean County,3802,11159,611,42083,0.472450552
Mercer County,17631,30034,1929,42085,0.250090737
Mifflin County,3563,14050,626,42087,0.574976698
Monroe County,31930,31706,2308,42089,-0.003396822
Montgomery County,251063,160803,15623,42091,-0.211139936
Montour County,2851,5274,410,42093,0.283889865
Northampton County,65936,71384,5455,42095,0.038157941
Northumberland County,9184,24418,1369,42097,0.435618084
Perry County,4630,15613,910,42099,0.519217132
Philadelphia County,560542,105418,14267,42101,-0.669076646
Pike County,9247,16035,784,42103,0.260415867
Potter County,1300,6247,230,42105,0.636106468
Schuylkill County,16724,43937,2089,42107,0.433673307
Snyder County,3991,11710,632,42109,0.472601482
Somerset County,7367,27347,1016,42111,0.559193955
Sullivan County,756,2318,94,42113,0.493055556
Susquehanna County,5065,13295,840,42115,0.428645833
Tioga County,3642,12928,764,42117,0.535710165
Union County,6138,10605,657,42119,0.256724138
Venango County,5889,15254,953,42121,0.423832368
Warren County,4828,12032,764,42123,0.408760781
Washington County,34436,58941,3568,42125,0.25277219
Wayne County,6398,15269,698,42127,0.396646546
Westmoreland County,59506,116427,5807,42129,0.313200176
Wyoming County,3573,8375,470,42131,0.386696731
York County,67428,126933,8792,42133,0.292907316