id,PUMA,WGTP,WGTPpov,PCTpov
79500US4200100,100,20626,1429,6.928148938
79500US4200200,200,52892,2166,4.095137261
79500US4200300,300,36628,3423,9.345309599
79500US4200400,400,30455,1028,3.375472008
79500US4200500,500,33350,2035,6.101949025
79500US4200600,600,46196,2551,5.522123128
79500US4200700,700,47422,3858,8.135464552
79500US4200801,801,24481,2179,8.900780197
79500US4200802,802,39290,2004,5.100534487
79500US4200901,901,24547,1899,7.736179574
79500US4200902,902,35370,2405,6.799547639
79500US4200903,903,48145,3133,6.507425486
79500US4201000,1000,30736,2602,8.465642894
79500US4201100,1100,33296,2439,7.325204229
79500US4201200,1200,53414,3471,6.498296327
79500US4201300,1300,33105,1414,4.271258118
79500US4201400,1400,36888,3171,8.596291477
79500US4201500,1500,30561,2203,7.208533752
79500US4201600,1600,34337,3224,9.389288523
79500US4201701,1701,18765,1797,9.576338929
79500US4201702,1702,17977,993,5.523724759
79500US4201703,1703,29175,1797,6.159383033
79500US4201801,1801,47479,1591,3.350955159
79500US4201802,1802,28748,898,3.123695561
79500US4201803,1803,39493,2209,5.593396298
79500US4201804,1804,52752,2353,4.460494389
79500US4201805,1805,34900,746,2.137535817
79500US4201806,1806,35140,810,2.305065452
79500US4201807,1807,39817,2603,6.537408645
79500US4201900,1900,54627,1678,3.07174108
79500US4202001,2001,33012,2394,7.251908397
79500US4202002,2002,43655,2477,5.674035048
79500US4202101,2101,30373,1698,5.590491555
79500US4202102,2102,46797,2128,4.547300041
79500US4202103,2103,33945,2259,6.654882899
79500US4202201,2201,47105,2745,5.827406857
79500US4202202,2202,27327,2042,7.472463132
79500US4202300,2300,38865,4189,10.77833526
79500US4202400,2400,45597,3446,7.557514749
79500US4202501,2501,36971,2214,5.988477455
79500US4202502,2502,27359,1875,6.853320662
79500US4202600,2600,36818,2123,5.766201315
79500US4202700,2700,32456,2500,7.702736012
79500US4202801,2801,35774,912,2.549337508
79500US4202802,2802,35827,1826,5.096714768
79500US4202900,2900,35473,1510,4.256758662
79500US4203001,3001,31295,1125,3.594823454
79500US4203002,3002,37564,2267,6.035033543
79500US4203101,3101,43991,1376,3.127912528
79500US4203102,3102,40818,1944,4.762604733
79500US4203201,3201,41565,1930,4.643329725
79500US4203202,3202,58969,1889,3.203378046
79500US4203203,3203,29982,1120,3.735574678
79500US4203301,3301,42210,2682,6.353944563
79500US4203302,3302,45404,1599,3.521716148
79500US4203303,3303,45802,2425,5.294528623
79500US4203401,3401,51565,2925,5.672452245
79500US4203402,3402,57572,1429,2.482109359
79500US4203500,3500,46698,3758,8.047453852
79500US4203600,3600,19486,1083,5.557836395
79500US4203701,3701,51235,2447,4.776032009
79500US4203702,3702,38987,2217,5.686510888
79500US4203801,3801,31881,1153,3.616574135
79500US4203802,3802,50212,833,1.658965984
79500US4203901,3901,62139,2070,3.331241249
79500US4203902,3902,46910,1373,2.926881262
79500US4203903,3903,37478,1711,4.565345002
79500US4203904,3904,33782,718,2.125392221
79500US4204001,4001,33228,457,1.375346094
79500US4204002,4002,50350,1042,2.069513406
79500US4204003,4003,50817,1299,2.556231182
79500US4204004,4004,29948,1005,3.355816749
79500US4204005,4005,32270,985,3.052370623
79500US4204006,4006,28787,169,0.587070553
79500US4204101,4101,36169,1114,3.079985623
79500US4204102,4102,28087,2610,9.292555275
79500US4204103,4103,26769,2780,10.385147
79500US4204104,4104,35002,6938,19.82172447
79500US4204105,4105,29480,7925,26.88263229
79500US4204106,4106,31796,2751,8.652031702
79500US4204107,4107,15828,4032,25.47384382
79500US4204108,4108,24280,5835,24.03212521
79500US4204109,4109,25509,1569,6.150770316
79500US4204110,4110,29420,5957,20.24813052
79500US4204111,4111,24090,4312,17.89954338
79500US4204201,4201,36848,1159,3.145353886
79500US4204202,4202,40108,2143,5.343073701
79500US4204203,4203,35378,2196,6.207247442
79500US4204204,4204,33916,428,1.261941267
79500US4204301,4301,44184,1022,2.313054499
79500US4204302,4302,53188,1144,2.150861096
79500US4204303,4303,40502,1074,2.651720903