id,PUMA,WGTP,WGTP30,WGTP50,PCTburden30,PCTburden50
79500US4200100,100,1362,1278,1183,93.83259912,86.85756241
79500US4200200,200,3639,3489,2408,95.87798846,66.17202528
79500US4200300,300,2975,2772,1789,93.17647059,60.13445378
79500US4200400,400,1677,1485,1148,88.5509839,68.45557543
79500US4200500,500,1977,1707,1152,86.34294385,58.27010622
79500US4200600,600,3470,3275,2439,94.38040346,70.28818444
79500US4200700,700,2135,2060,2060,96.48711944,96.48711944
79500US4200801,801,1974,1808,1211,91.59067882,61.34751773
79500US4200802,802,2275,2053,1501,90.24175824,65.97802198
79500US4200901,901,2684,2684,1814,100,67.585693
79500US4200902,902,1947,1781,1150,91.47406266,59.06522856
79500US4200903,903,2479,2287,1878,92.25494151,75.75635337
79500US4201000,1000,2151,1993,1322,92.65457927,61.45978615
79500US4201100,1100,1900,1671,1297,87.94736842,68.26315789
79500US4201200,1200,3109,2813,2228,90.47925378,71.66291412
79500US4201300,1300,1937,1584,1358,81.77594218,70.10841507
79500US4201400,1400,3532,2535,1278,71.77236693,36.18346546
79500US4201500,1500,1773,1459,1188,82.28990412,67.00507614
79500US4201600,1600,1517,1374,960,90.57350033,63.28279499
79500US4201701,1701,2222,2136,1975,96.12961296,88.88388839
79500US4201702,1702,1322,1322,844,100,63.84266263
79500US4201703,1703,2224,2150,1967,96.67266187,88.4442446
79500US4201801,1801,1293,1293,1138,100,88.01237432
79500US4201802,1802,980,980,902,100,92.04081633
79500US4201803,1803,991,991,883,100,89.10191726
79500US4201804,1804,2287,2197,1977,96.0647136,86.44512462
79500US4201805,1805,1036,1036,956,100,92.27799228
79500US4201806,1806,2229,2135,2135,95.78286227,95.78286227
79500US4201807,1807,2035,1713,1214,84.17690418,59.65601966
79500US4201900,1900,2791,2187,1848,78.35901111,66.21282694
79500US4202001,2001,3015,2686,2173,89.08789386,72.07296849
79500US4202002,2002,3066,2995,2492,97.68427919,81.27853881
79500US4202101,2101,558,558,558,100,100
79500US4202102,2102,2665,2251,1146,84.46529081,43.00187617
79500US4202103,2103,1776,1618,1285,91.1036036,72.3536036
79500US4202201,2201,2289,1999,1435,87.3307121,62.6911315
79500US4202202,2202,1955,1717,913,87.82608696,46.70076726
79500US4202300,2300,4156,3321,1789,79.90856593,43.04619827
79500US4202400,2400,3479,2104,1001,60.47714861,28.77263581
79500US4202501,2501,2646,2327,1339,87.94406652,50.60468632
79500US4202502,2502,3564,1767,1025,49.57912458,28.75982043
79500US4202600,2600,2528,1605,760,63.48892405,30.06329114
79500US4202700,2700,3303,2815,2070,85.22555253,62.67029973
79500US4202801,2801,843,746,518,88.49347568,61.44721234
79500US4202802,2802,1870,1604,949,85.77540107,50.7486631
79500US4202900,2900,1210,1156,949,95.53719008,78.42975207
79500US4203001,3001,754,648,648,85.94164456,85.94164456
79500US4203002,3002,836,836,748,100,89.47368421
79500US4203101,3101,763,763,655,100,85.84534731
79500US4203102,3102,1343,1229,891,91.51154133,66.34400596
79500US4203201,3201,1256,1256,1071,100,85.27070064
79500US4203202,3202,1276,1108,902,86.8338558,70.68965517
79500US4203203,3203,1253,1253,998,100,79.64884278
79500US4203301,3301,1335,1160,781,86.89138577,58.50187266
79500US4203302,3302,1056,1056,967,100,91.5719697
79500US4203303,3303,737,655,464,88.87381275,62.95793758
79500US4203401,3401,2394,2226,1550,92.98245614,64.74519632
79500US4203402,3402,1223,1223,1201,100,98.20114473
79500US4203500,3500,3630,3157,2480,86.96969697,68.31955923
79500US4203600,3600,708,708,497,100,70.19774011
79500US4203701,3701,1291,983,880,76.14252517,68.16421379
79500US4203702,3702,1286,1286,820,100,63.76360809
79500US4203801,3801,421,322,322,76.48456057,76.48456057
79500US4203802,3802,641,641,641,100,100
79500US4203901,3901,2235,1970,1852,88.14317673,82.86353468
79500US4203902,3902,884,884,884,100,100
79500US4203903,3903,1086,1086,1086,100,100
79500US4203904,3904,2170,2170,1440,100,66.359447
79500US4204001,4001,805,805,805,100,100
79500US4204002,4002,722,722,722,100,100
79500US4204003,4003,824,824,732,100,88.83495146
79500US4204004,4004,1598,1598,1598,100,100
79500US4204005,4005,477,477,477,100,100
79500US4204006,4006,931,931,847,100,90.97744361
79500US4204101,4101,1647,1647,1522,100,92.41044323
79500US4204102,4102,3084,2869,2262,93.02853437,73.3463035
79500US4204103,4103,957,957,694,100,72.51828631
79500US4204104,4104,5157,4921,4475,95.42369595,86.77525693
79500US4204105,4105,6870,5976,3842,86.98689956,55.92430859
79500US4204106,4106,3084,3084,2470,100,80.09079118
79500US4204107,4107,3197,2580,1540,80.70065687,48.17015952
79500US4204108,4108,4199,3519,3157,83.80566802,75.18456775
79500US4204109,4109,1191,935,935,78.5054576,78.5054576
79500US4204110,4110,3978,3864,2125,97.13423831,53.41880342
79500US4204111,4111,5131,4559,3521,88.85207562,68.62210095
79500US4204201,4201,1110,1110,1110,100,100
79500US4204202,4202,2324,2234,2032,96.12736661,87.43545611
79500US4204203,4203,2778,2508,1921,90.28077754,69.15046796
79500US4204204,4204,821,821,821,100,100
79500US4204301,4301,796,686,686,86.18090452,86.18090452
79500US4204302,4302,1350,1350,1261,100,93.40740741
79500US4204303,4303,1296,1231,931,94.9845679,71.83641975