id,PUMA,WGTP,WGTP30,PCTburden30
79500US4200101,0101,6917,6031,87.19097875
79500US4200102,0102,2565,2133,83.15789474
79500US4200200,0200,2851,2213,77.62188706
79500US4200300,0300,3474,2613,75.21588946
79500US4200400,0400,2238,1902,84.98659517
79500US4200500,0500,2298,1961,85.33507398
79500US4200600,0600,1655,1655,100
79500US4200701,0701,4317,3681,85.26754691
79500US4200702,0702,1815,1726,95.09641873
79500US4200801,0801,1995,1776,89.02255639
79500US4200802,0802,5654,4937,87.31871242
79500US4200803,0803,2099,2099,100
79500US4200900,0900,3804,3777,99.29022082
79500US4201000,1000,1096,1096,100
79500US4201100,1100,2834,2209,77.94636556
79500US4201200,1200,3329,3329,100
79500US4201300,1300,3999,3440,86.02150538
79500US4201400,1400,2510,2335,93.02788845
79500US4201501,1501,3316,2941,88.69119421
79500US4201502,1502,3510,2957,84.24501425
79500US4201600,1600,2886,2548,88.28828829
79500US4201701,1701,12483,10168,81.4547785
79500US4201702,1702,4758,4347,91.36191677
79500US4201801,1801,2374,2374,100
79500US4201802,1802,1509,1509,100
79500US4201803,1803,1938,1202,62.02270382
79500US4201804,1804,7020,5890,83.9031339
79500US4201805,1805,4729,3693,78.09262
79500US4201806,1806,2822,2710,96.03118356
79500US4201807,1807,2467,2467,100
79500US4201900,1900,3933,3700,94.07576913
79500US4202001,2001,1929,1565,81.13011923
79500US4202002,2002,3317,3149,94.93518239
79500US4202003,2003,1937,1448,74.75477543
79500US4202100,2100,4250,3484,81.97647059
79500US4202200,2200,4805,4009,83.433923
79500US4202301,2301,2838,2782,98.02677942
79500US4202302,2302,1075,1075,100
79500US4202401,2401,7529,6580,87.39540444
79500US4202402,2402,1239,1094,88.29701372
79500US4202500,2500,2493,2053,82.35058163
79500US4202600,2600,2899,2584,89.1341842
79500US4202701,2701,785,785,100
79500US4202702,2702,7894,6888,87.25614391
79500US4202703,2703,749,637,85.04672897
79500US4202801,2801,992,731,73.68951613
79500US4202802,2802,1701,1332,78.30687831
79500US4202803,2803,7179,6745,93.95458978
79500US4202901,2901,4185,3328,79.52210275
79500US4202902,2902,663,484,73.0015083
79500US4203001,3001,983,911,92.67548321
79500US4203002,3002,916,849,92.68558952
79500US4203003,3003,999,503,50.35035035
79500US4203004,3004,2723,2647,97.20896071
79500US4203101,3101,2927,2881,98.42842501
79500US4203102,3102,1351,1351,100
79500US4203103,3103,1987,1936,97.43331656
79500US4203104,3104,2938,2857,97.24302246
79500US4203105,3105,626,471,75.23961661
79500US4203106,3106,1690,1395,82.5443787
79500US4203201,3201,5079,3279,64.55995275
79500US4203202,3202,5509,5393,97.89435469
79500US4203203,3203,5075,4969,97.91133005
79500US4203204,3204,7920,7559,95.44191919
79500US4203205,3205,7987,7312,91.54876675
79500US4203206,3206,5123,5123,100
79500US4203207,3207,6440,5035,78.18322981
79500US4203208,3208,10685,8956,83.81843706
79500US4203209,3209,4446,3703,83.28834908
79500US4203210,3210,7596,7466,98.28857293
79500US4203211,3211,3919,2798,71.39576423
79500US4203301,3301,953,953,100
79500US4203302,3302,3159,2808,88.88888889
79500US4203303,3303,5065,4406,86.98914116
79500US4203304,3304,562,562,100
79500US4203401,3401,525,525,100
79500US4203402,3402,757,757,100
79500US4203403,3403,1662,1662,100
79500US4203404,3404,1029,1029,100
79500US4203501,3501,4242,4144,97.68976898
79500US4203502,3502,2238,2238,100
79500US4203503,3503,827,827,100
79500US4203504,3504,2029,2029,100
79500US4203601,3601,6787,6183,91.10063356
79500US4203602,3602,1057,1057,100
79500US4203603,3603,1067,827,77.50702905
79500US4203701,3701,1792,1727,96.37276786
79500US4203702,3702,1748,1098,62.81464531
79500US4203800,3800,3281,2782,84.79122219
79500US4203900,3900,5149,4494,87.27908332
79500US4204001,4001,2118,1417,66.90273843
79500US4204002,4002,2755,2300,83.4845735