id,PUMA,r_pct
79500US4200101,101,55
79500US4200102,102,56
79500US4200200,200,62
79500US4200300,300,54
79500US4200400,400,56
79500US4200500,500,65
79500US4200600,600,101
79500US4200701,701,74
79500US4200702,702,96
79500US4200801,801,93
79500US4200802,802,62
79500US4200803,803,69
79500US4200900,900,101
79500US4201000,1000,51
79500US4201100,1100,50
79500US4201200,1200,101
79500US4201300,1300,74
79500US4201400,1400,41
79500US4201501,1501,74
79500US4201502,1502,56
79500US4201600,1600,90
79500US4201701,1701,101
79500US4201702,1702,66
79500US4201801,1801,60
79500US4201802,1802,100
79500US4201803,1803,33
79500US4201804,1804,91
79500US4201805,1805,53
79500US4201806,1806,72
79500US4201807,1807,101
79500US4201900,1900,95
79500US4202001,2001,59
79500US4202002,2002,101
79500US4202003,2003,67
79500US4202100,2100,57
79500US4202200,2200,67
79500US4202301,2301,80
79500US4202302,2302,46
79500US4202401,2401,98
79500US4202402,2402,67
79500US4202500,2500,70
79500US4202600,2600,101
79500US4202701,2701,101
79500US4202702,2702,74
79500US4202703,2703,101
79500US4202801,2801,60
79500US4202802,2802,101
79500US4202803,2803,81
79500US4202901,2901,67
79500US4202902,2902,44
79500US4203001,3001,101
79500US4203002,3002,101
79500US4203003,3003,72
79500US4203004,3004,101
79500US4203101,3101,99
79500US4203102,3102,79
79500US4203103,3103,101
79500US4203104,3104,101
79500US4203105,3105,82
79500US4203106,3106,101
79500US4203201,3201,58
79500US4203202,3202,83
79500US4203203,3203,85
79500US4203204,3204,101
79500US4203205,3205,73
79500US4203206,3206,101
79500US4203207,3207,67
79500US4203208,3208,73
79500US4203209,3209,101
79500US4203210,3210,100
79500US4203211,3211,59
79500US4203301,3301,101
79500US4203302,3302,84
79500US4203303,3303,82
79500US4203304,3304,72
79500US4203401,3401,101
79500US4203402,3402,101
79500US4203403,3403,94
79500US4203404,3404,100
79500US4203501,3501,78
79500US4203502,3502,64
79500US4203503,3503,92
79500US4203504,3504,101
79500US4203601,3601,77
79500US4203602,3602,69
79500US4203603,3603,68
79500US4203701,3701,48
79500US4203702,3702,65
79500US4203800,3800,87
79500US4203900,3900,73
79500US4204001,4001,57
79500US4204002,4002,39